Year,Month,Precip_Total_mm
2005,1,64.9
2005,2,32.6
2005,3,29.5
2005,4,17.6
2005,5,3.9000000000000004
2005,6,9.7
2005,7,0.5
2005,8,16.0
2005,9,28.7
2005,10,35.4
2005,11,8.8
2005,12,13.2
2006,1,9.5
2006,2,1.0
2006,3,43.7
2006,4,12.899999999999999
2006,5,1.4
2006,6,6.8
2006,7,8.3
2006,8,13.2
2006,9,33.1
2006,10,83.2
2006,11,14.1
2006,12,11.200000000000001
2007,1,18.0
2007,2,16.8
2007,3,6.8
2007,4,22.0
2007,5,4.5
2007,6,0.1
2007,7,5.7
2007,8,25.4
2007,9,33.0
2007,10,18.6
2007,11,3.5
2007,12,58.5
2008,1,18.8
2008,2,38.6
2008,3,4.2
2008,4,6.6000000000000005
2008,5,11.3
2008,6,6.6000000000000005
2008,7,5.9
2008,8,40.0
2008,9,2.6
2008,10,11.299999999999999
2008,11,20.1
2008,12,26.3
2009,1,8.9
2009,2,7.8
2009,3,6.4
2009,4,25.9
2009,5,37.5
2009,6,5.6
2009,7,0.8
2009,8,1.1
2009,9,15.9
2009,10,11.8
2009,11,5.0
2009,12,38.5
2010,1,33.8
2010,2,33.5
2010,3,40.7
2010,4,11.5
2010,5,5.0
2010,6,9.7
2010,7,4.3
2010,8,14.3
2010,9,15.9
2010,10,25.0
2010,11,10.700000000000001
2010,12,51.4
2011,1,3.0
2011,2,13.9
2011,3,9.4
2011,4,11.9
2011,5,13.1
2011,6,7.3
2011,7,5.4
2011,8,1.8
2011,9,20.2
2011,10,24.5
2011,11,21.3
2011,12,10.0
2012,1,11.2
2012,2,14.2
2012,3,4.3
2012,4,6.3
2012,5,1.0
2012,6,0.0
2012,7,9.6
2012,8,12.2
2012,9,6.2
2012,10,10.5
2012,11,9.1
2012,12,25.6
2013,1,14.4
2013,2,14.6
2013,3,11.3
2013,4,16.5
2013,5,11.9
2013,6,0.0
2013,7,6.3
2013,8,21.3
2013,9,90.0
2013,10,20.1
2013,11,31.4
2013,12,17.2
2014,1,7.9
2014,2,10.7
2014,3,8.4
2014,4,8.3
2014,5,24.400000000000002
2014,6,0.1
2014,7,10.4
2014,8,29.6
2014,9,38.0
2014,10,5.5
2014,11,11.3
2014,12,16.6
2015,1,23.8
2015,2,6.3
2015,3,8.1
2015,4,17.8
2015,5,17.4
2015,6,28.2
2015,7,7.3
2015,8,23.6
2015,9,9.9
2015,10,56.8
2015,11,22.6
2015,12,27.400000000000002
2016,1,23.0
2016,2,22.3
2016,3,9.6
2016,4,28.0
2016,5,12.5
2016,6,0.4
2016,7,1.5
2016,8,19.8
2016,9,31.400000000000002
2016,10,12.6
2016,11,33.3
2016,12,25.7
2017,1,48.8
2017,2,17.7
2017,3,8.8
2017,4,8.0
2017,5,25.1
2017,6,0.2
2017,7,22.2
2017,8,3.6
2017,9,13.9
2017,10,8.5
2017,11,1.7000000000000002
2017,12,5.0
2018,1,14.3
2018,2,11.8
2018,3,14.5
2018,4,10.299999999999999
2018,5,13.8
2018,6,1.8
2018,7,0.6000000000000001
2018,8,7.1
2018,9,1.1
2018,10,78.3
2018,11,8.7
2018,12,19.4
2019,1,28.7
2019,2,42.0
2019,3,58.800000000000004
2019,4,20.7
2019,5,31.900000000000002
2019,6,11.2
2019,7,0.30000000000000004
2019,8,1.4
2019,9,6.6
2019,10,0.30000000000000004
2019,11,29.9
2019,12,37.4
2020,1,7.4
2020,2,12.5
2020,3,26.6
2020,4,5.5
2020,5,0.9
2020,6,12.7
2020,7,2.6999999999999997
2020,8,0.0
2020,9,3.2
2020,10,5.5
2020,11,16.2
2020,12,6.4
2021,1,10.0
2021,2,11.4
2021,3,10.2
2021,4,7.1
2021,5,5.6
2021,6,2.3000000000000003
2021,7,8.3
2021,8,52.8
2021,9,27.1
2021,10,42.1
2021,11,1.2000000000000002
2021,12,41.6
2022,1,1.8
2022,2,13.1
2022,3,13.8
2022,4,7.6
2022,5,4.8
2022,6,4.6
2022,7,8.4
2022,8,4.9
2022,9,15.3
2022,10,39.6
2022,11,15.3
2022,12,23.0
2023,1,48.7
2023,2,18.3
2023,3,75.5
2023,4,5.5
2023,5,4.5
2023,6,3.7
2023,7,4.9
2023,8,16.5
2023,9,1.7
2023,10,3.8000000000000003
2023,11,21.9
2023,12,9.0
2024,1,14.700000000000001
2024,2,28.4
2024,3,27.6
2024,4,3.4
2024,5,5.0
2024,6,17.3
2024,7,0.4
2024,8,24.3
2024,9,0.7000000000000001
2024,10,29.0
2024,11,22.6
2024,12,4.7
2025,1,0.30000000000000004
2025,2,14.0
2025,3,11.2
2025,4,8.9
2025,5,10.8
2025,6,13.8
2025,7,0.8
2025,8,7.5
2025,9,13.4
2025,10,54.0
2025,11,24.1
2025,12,0.2
