SeasonYear,Season,Precip_Total_mm
2006,DJF,23.7
2006,JJA,28.3
2006,MAM,58.0
2006,SON,130.4
2007,DJF,46.0
2007,JJA,31.2
2007,MAM,33.3
2007,SON,55.1
2008,DJF,115.9
2008,JJA,52.5
2008,MAM,22.1
2008,SON,34.0
2009,DJF,43.0
2009,JJA,7.5
2009,MAM,69.8
2009,SON,32.7
2010,DJF,105.8
2010,JJA,28.3
2010,MAM,57.2
2010,SON,51.6
2011,DJF,68.3
2011,JJA,14.5
2011,MAM,34.4
2011,SON,66.0
2012,DJF,35.4
2012,JJA,21.8
2012,MAM,11.6
2012,SON,25.8
2013,DJF,54.6
2013,JJA,27.6
2013,MAM,39.7
2013,SON,141.5
2014,DJF,35.8
2014,JJA,40.1
2014,MAM,41.1
2014,SON,54.8
2015,DJF,46.7
2015,JJA,59.1
2015,MAM,43.3
2015,SON,89.3
2016,DJF,72.7
2016,JJA,21.7
2016,MAM,50.1
2016,SON,77.3
2017,DJF,92.2
2017,JJA,26.0
2017,MAM,41.9
2017,SON,24.1
2018,DJF,31.1
2018,JJA,9.5
2018,MAM,38.6
2018,SON,88.1
2019,DJF,90.1
2019,JJA,12.9
2019,MAM,111.4
2019,SON,36.8
2020,DJF,57.3
2020,JJA,15.4
2020,MAM,33.0
2020,SON,24.9
2021,DJF,27.8
2021,JJA,63.4
2021,MAM,22.9
2021,SON,70.4
2022,DJF,56.5
2022,JJA,17.9
2022,MAM,26.2
2022,SON,70.2
2023,DJF,90.0
2023,JJA,25.1
2023,MAM,85.5
2023,SON,27.400000000000002
2024,DJF,52.1
2024,JJA,42.0
2024,MAM,36.0
2024,SON,52.3
2025,DJF,19.0
2025,JJA,22.1
2025,MAM,30.900000000000002
2025,SON,91.5
